Cases_per_Million,H6_Facial_Coverings
L0_0__374_43L,0
L0_0__374_43L,0
L0_0__374_43L,0
L0_0__374_43L,0
L0_0__374_43L,0
L0_0__374_43L,0
L0_0__374_43L,0
L0_0__374_43L,0
L0_0__374_43L,0
L0_0__374_43L,0
L0_0__374_43L,0
L0_0__374_43L,0
L0_0__374_43L,0
L0_0__374_43L,0
L0_0__374_43L,0
L0_0__374_43L,0
L0_0__374_43L,0
L0_0__374_43L,0
L0_0__374_43L,0
L0_0__374_43L,0
L0_0__374_43L,0
L0_0__374_43L,0
L0_0__374_43L,0
L0_0__374_43L,0
L0_0__374_43L,0
L0_0__374_43L,0
L0_0__374_43L,0
L0_0__374_43L,0
L0_0__374_43L,0
L0_0__374_43L,0
L0_0__374_43L,0
L0_0__374_43L,0
L0_0__374_43L,0
L0_0__374_43L,0
L0_0__374_43L,0
L0_0__374_43L,0
L0_0__374_43L,0
L0_0__374_43L,0
L0_0__374_43L,0
L0_0__374_43L,0
L0_0__374_43L,0
L0_0__374_43L,0
L0_0__374_43L,0
L0_0__374_43L,0
L0_0__374_43L,0
L0_0__374_43L,0
L0_0__374_43L,0
L0_0__374_43L,0
L0_0__374_43L,0
L0_0__374_43L,0
L0_0__374_43L,0
L0_0__374_43L,0
L0_0__374_43L,0
L0_0__374_43L,0
L0_0__374_43L,0
L0_0__374_43L,0
L0_0__374_43L,0
L374_43__748_85L,0
L0_0__374_43L,0
L0_0__374_43L,0
L0_0__374_43L,0
L0_0__374_43L,0
L0_0__374_43L,0
L0_0__374_43L,0
L0_0__374_43L,0
L0_0__374_43L,0
L0_0__374_43L,0
L0_0__374_43L,0
L0_0__374_43L,0
L0_0__374_43L,0
L0_0__374_43L,0
L0_0__374_43L,0
L0_0__374_43L,Recommended
L0_0__374_43L,Recommended
L0_0__374_43L,Recommended
L0_0__374_43L,Recommended
L0_0__374_43L,Recommended
L0_0__374_43L,Recommended
L0_0__374_43L,Recommended
L0_0__374_43L,Recommended
L0_0__374_43L,Recommended
L0_0__374_43L,Recommended
L0_0__374_43L,Recommended
L0_0__374_43L,Recommended
L0_0__374_43L,Recommended
L0_0__374_43L,Recommended
L0_0__374_43L,1
L0_0__374_43L,1
L0_0__374_43L,1
L0_0__374_43L,1
L0_0__374_43L,1
L0_0__374_43L,1
L0_0__374_43L,1
L0_0__374_43L,1
L0_0__374_43L,1
L0_0__374_43L,1
L0_0__374_43L,1
L0_0__374_43L,1
L0_0__374_43L,1
L0_0__374_43L,1
L0_0__374_43L,1
L0_0__374_43L,1
L0_0__374_43L,1
L0_0__374_43L,1
L0_0__374_43L,1
L0_0__374_43L,1
L0_0__374_43L,1
L0_0__374_43L,1
L0_0__374_43L,1
L0_0__374_43L,1
L0_0__374_43L,1
L0_0__374_43L,1
L0_0__374_43L,1
L0_0__374_43L,1
L0_0__374_43L,1
L0_0__374_43L,1
L0_0__374_43L,1
L0_0__374_43L,1
L0_0__374_43L,1
L0_0__374_43L,1
L0_0__374_43L,1
L0_0__374_43L,1
L0_0__374_43L,1
L0_0__374_43L,1
L0_0__374_43L,1
L0_0__374_43L,1
L0_0__374_43L,1
L0_0__374_43L,1
L0_0__374_43L,1
L0_0__374_43L,1
L0_0__374_43L,1
L0_0__374_43L,1
L0_0__374_43L,1
L0_0__374_43L,1
L0_0__374_43L,1
L0_0__374_43L,1
L0_0__374_43L,1
L0_0__374_43L,1
L0_0__374_43L,1
L0_0__374_43L,1
L0_0__374_43L,1
L0_0__374_43L,1
L0_0__374_43L,1
L0_0__374_43L,1
L0_0__374_43L,1
L0_0__374_43L,1
L0_0__374_43L,1
L0_0__374_43L,1
L0_0__374_43L,1
L0_0__374_43L,1
L0_0__374_43L,1
L0_0__374_43L,1
L0_0__374_43L,1
L0_0__374_43L,1
L0_0__374_43L,1
L0_0__374_43L,1
L0_0__374_43L,2
L0_0__374_43L,2
L0_0__374_43L,2
L0_0__374_43L,2
L0_0__374_43L,2
L0_0__374_43L,2
L0_0__374_43L,2
L0_0__374_43L,2
L0_0__374_43L,2
L0_0__374_43L,2
L0_0__374_43L,2
L0_0__374_43L,2
L0_0__374_43L,2
L0_0__374_43L,2
L0_0__374_43L,3
L0_0__374_43L,3
L0_0__374_43L,3
L0_0__374_43L,3
L0_0__374_43L,3
L0_0__374_43L,3
L0_0__374_43L,3
L0_0__374_43L,3
L0_0__374_43L,3
L0_0__374_43L,3
L0_0__374_43L,3
L0_0__374_43L,3
L0_0__374_43L,3
L0_0__374_43L,3
L0_0__374_43L,3
L0_0__374_43L,3
L0_0__374_43L,3
L0_0__374_43L,3
L0_0__374_43L,3
L0_0__374_43L,3
L0_0__374_43L,3
L0_0__374_43L,3
L0_0__374_43L,3
L0_0__374_43L,3
L0_0__374_43L,3
L0_0__374_43L,3
L0_0__374_43L,3
L0_0__374_43L,3
L0_0__374_43L,3
L0_0__374_43L,3
L0_0__374_43L,3
L0_0__374_43L,3
L0_0__374_43L,3
L0_0__374_43L,3
L0_0__374_43L,3
L0_0__374_43L,3
L0_0__374_43L,3
L0_0__374_43L,3
L0_0__374_43L,3
L0_0__374_43L,3
L0_0__374_43L,3
L0_0__374_43L,3
L0_0__374_43L,3
L0_0__374_43L,3
L0_0__374_43L,3
L0_0__374_43L,3
L0_0__374_43L,3
L0_0__374_43L,3
L0_0__374_43L,3
L374_43__748_85L,3
L0_0__374_43L,3
L0_0__374_43L,3
L374_43__748_85L,3
L0_0__374_43L,3
L0_0__374_43L,3
L0_0__374_43L,3
L374_43__748_85L,3
L0_0__374_43L,3
L0_0__374_43L,3
L0_0__374_43L,3
L0_0__374_43L,3
L0_0__374_43L,3
L0_0__374_43L,3
L374_43__748_85L,3
L0_0__374_43L,3
L0_0__374_43L,3
L0_0__374_43L,3
L0_0__374_43L,3
L0_0__374_43L,3
L0_0__374_43L,3
L374_43__748_85L,3
L0_0__374_43L,3
L0_0__374_43L,3
L374_43__748_85L,3
L374_43__748_85L,3
L0_0__374_43L,3
L0_0__374_43L,3
L1123_28__1497_7L,3
L0_0__374_43L,3
L374_43__748_85L,3
L374_43__748_85L,3
L374_43__748_85L,3
L0_0__374_43L,3
L0_0__374_43L,3
L1497_7__1872_13L,3
L374_43__748_85L,3
L374_43__748_85L,3
L374_43__748_85L,3
L374_43__748_85L,3
L374_43__748_85L,3
L374_43__748_85L,3
L748_85__1123_28L,3
L374_43__748_85L,3
L374_43__748_85L,3
L748_85__1123_28L,3
L748_85__1123_28L,3
L0_0__374_43L,3
L1497_7__1872_13L,3
L0_0__374_43L,3
L0_0__374_43L,3
